Dataset,F1_measure,Accuracy
HDFS,1.000000,1.000000
Hadoop,0.867406,0.669500
Spark,0.731617,0.633500
Zookeeper,0.994407,0.854500
BGL,0.399353,0.127500
HPC,0.176637,0.000000
Thunderbird,0.982164,0.812500
Windows,0.999904,0.989500
Linux,0.925896,0.518500
Android,0.992097,0.910500
HealthApp,0.912586,0.591500
Apache,1.000000,1.000000
Proxifier,0.813394,0.495000
OpenSSH,0.936400,0.425500
OpenStack,0.935767,0.787000
Mac,0.028241,0.000000
