Dataset,F1_measure,Accuracy
Proxifier,0.242857,0.000000
HDFS,0.419466,0.000500
Hadoop,0.734936,0.289000
Spark,0.476974,0.023000
Zookeeper,0.990401,0.546000
BGL,0.644441,0.138500
HPC,0.754457,0.248000
Thunderbird,0.850310,0.575500
Windows,0.691444,0.390000
Linux,0.102332,0.130000
Android,0.924708,0.392500
HealthApp,0.791643,0.149000
Apache,0.858673,0.296500
OpenSSH,0.593688,0.091000
OpenStack,0.708138,0.358500
Mac,0.600457,0.374500
Average,0.649058,0.250156
